Title,Year,Rating,Votes,Synopsis,Runtime
A Unicorn for Christmas,2021,5.0,829.0,A young girl discovers a real-life unicorn at a Christmas carnival and must protect it from a greedy fair owner.,1h 27m
Beckenrand Sheriff,2021,6.0,733.0,Lifeguard Karl's job is at stake when the public pool is closed. He starts a campaign to save the pool with Nigerian lifeguard trainee Sali who loves professional swimmer Lisa - another good reason to fight for the pool.,1h 53m
My Wonderful Life,2021,5.9,942.0,"Middle-aged Joanna tries tirelessly to reconcile being a mother, daughter, grandmother, wife, lover, housewife and high-school teacher. But she seems to be losing her patience.",1h 39m
Alienated,2021,5.2,635.0,A struggling OCD scientist encounters a UFO and falls for an artist who's an alien unbeknownst to him. A determined conspiracy theorist hunts the alien artist.,1h 39m
Alles op tafel,2021,6.6,1200.0,Seven friends meet up for dinner and decide to play a revealing game. During the evening deep personal secrets will surface and threaten their relationships.,1h 42m
The Lockdown Hauntings,2021,4.0,2600.0,"You're in a global lockdown. You can't go anywhere, and no one can visit. But someone or something is in your home and whatever it is, it is, it's about to turn deadly...",1h 41m
Locked In,2021,4.2,1100.0,A single mother must protect her daughter and herself during a heist gone wrong at a high-tech storage facility.,1h 30m
The Inner Cage,2021,7.0,1900.0,"The last remains of a prison, guards and a few inmates, are waiting to be transferred and gradually the rules seem to make less and less sense and the waiting men become a new fragile community.",1h 57m
Clairevoyant,2021,5.7,3700.0,A Los Angeles socialite and so-called wellness practitioner seeks to overcome her life of luxury and achieve nirvana after hiring a film crew to document a more authentic journey along the path of enlightenment.,1h 30m
In the Same Breath,2021,7.6,1900.0,How did the Chinese government turn pandemic cover-ups in Wuhan into a triumph for the Communist party?,1h 35m
The World After Us,2021,6.2,540.0,"A struggling novelist meets an attractive female student and sets up an apartment for them, but will this new situation interfere with his writing?",1h 25m
The Wedding Trip,2021,5.9,691.0,"When Jack, a groomsman, leaves for his best friend's wedding several states away, he's asked to pick up stranded bridesmaid Samantha. Jack discovers that they've met before and have had a less-than-friendly past.",1h 39m
More Than Miyagi: The Pat Morita Story,2021,7.4,862.0,"Mr. Miyagi is the character that made him an icon, now we examine this OSCAR nominated actor who brought him to life.",1h 29m
Qismat 2,2021,6.8,1800.0,Fortune 2.,2h 35m
First Signal,2021,3.3,12000.0,When Air Force Space Command receives a signal from an alien satellite in Earth orbit an emergency meeting with the President reveals a government conspiracy.,1h 42m
Marilyn's Eyes,2021,6.6,2000.0,"Clara and Diego, under the guidance of the psychiatrist of a day rehabilitation center for disturbed people who attend, decide to transform the treatment center into a restaurant, involving all their other companions.",1h 54m
Teka Teki Tika,2021,5.6,657.0,"A businessman while celebrating his wedding anniversary, was surprised by the appearance of a woman who claimed to be his biological child, Tika. Division in the family was inevitable and behind that, is a secret about Tika's identity.",1h 23m
Fathom,2021,5.6,698.0,"Fathom is a visual and aural wonder of a documentary that follows researchers working to finally decode the communication of humpback whales. With Dr. Michelle Fournet, Dr. Ellen Garland.",1h 26m
Pebbles,2021,7.0,976.0,"A young boy travels with his violent and alcoholic father to bring back his mother, who has run away from home due to his abuse.",1h 15m
True,2021,4.7,1500.0,"The mysterious circumstances around the death of Vignesh's father leads him down a path filled with unexpected twists and turns. Nothing is as it seems, but will the truth finally set him free?",1h 32m
14 Phere,2021,6.3,5400.0,"Sanjay, a Rajput from Jahanabad, is in love with Aditi, a Jat from Jaipur. They want to get married, but don't want to hurt their families. So they plan to get married by arranging a fake set of parents. Will they succeed?",1h 51m
Aaha,2021,6.2,730.0,Aaha is a sports drama film based on the game tug of war.,2h 26m
Sabaya,2021,7.1,769.0,"Film follows a group into Syria's Al-Hol, a dangerous camp in the Middle East, as they risk their lives to save a women being held by ISIS as abducted sex slaves.",1h 30m
Moneyboys,2021,6.4,1200.0,"Fei works illegally to support family, but they reject his lifestyle. Through Long, Fei finds hope, until encountering Xiaolai, his past love, who makes him confront his guilt.",2h
Tonic Film,2021,7.6,2000.0,"75 years Jaladhar Sen faces emotional trauma with the plan to celebrate the old couple's marriage day minimally. Sen plans for a foreign trip and comes across Tonic, the travel agent.",2h 14m
Love Is Color Blind,2021,6.2,876.0,"A free-spirited young lady helps her high school best friend navigate from an accident that took away his mom and the colors in his vision, while also nursing her heart that has long harbored a deep feeling for him",1h 55m
Bachelor,2021,6.0,2200.0,A deeply flawed guy with behavioral issues and conservative background get into a live-in relationship with a hep modern girl and the problems that follow,2h 54m
